District,Code
Shivpuri,MP49
Sidhi,MP50
Singrauli,MP51
Tikamgarh,MP52
Ujjain,MP53
Umaria,MP54
Vidisha,MP55
Ahmednagar,MH01
Akola,MH02
Amravati,MH03
Aurangabad,MH04
Beed,MH05
Bhandara,MH06
Buldhana,MH07
Chandrapur,MH08
Dhule,MH09
Gadchiroli,MH10
Gondia,MH11
Hingoli,MH12
Jalgaon,MH13
Jalna,MH14
Kolhapur,MH15
Latur,MH16
Mumbai,MH17
Mumbai Suburban,MH18
Nagpur,MH19
Nanded,MH20
Nandurbar,MH21
Nashik,MH22
Osmanabad,MH23
Palghar,MH24
Parbhani,MH25
Pune,MH26
Raigad,MH27
Ratnagiri,MH28
Sangli,MH29
Satara,MH30
Sindhudurg,MH31
Solapur,MH32
Thane,MH33
Wardha,MH34
Washim,MH35
Yavatmal,MH36
Bishnupur,MN01
Chandel,MN02
Churachandpur,MN03
Imphal East,MN04
Imphal West,MN05
Jiribam,MN06
Kakching,MN07
Kamjong,MN08
Kangpokpi,MN09
Noney,MN10
Pherzawl,MN11
Senapati,MN12
Tamenglong,MN13
Tengnoupal,MN14
Thoubal,MN15
Ukhrul,MN16
East Garo Hills,ML01
East Jaintia Hills,ML02
East Khasi Hills,ML03
North Garo Hills,ML04
Ribhoi,ML05
South Garo Hills,ML06
South West Garo Hills,ML07
South West Khasi Hills,ML08
West Garo Hills,ML09
West Jaintia Hills,ML10
West Khasi Hills,ML11
Aizawl,MZ01
Champhai,MZ02
Kolasib,MZ05
Lawngtlai,MZ06
Lunglei,MZ07
Mamit,MZ08
Saiha,MZ09
Serchhip,MZ11
Dimapur,NL01
Kiphire,NL02
Kohima,NL03
Longleng,NL04
Mokokchung,NL05
Mon,NL06
Peren,NL08
Phek,NL09
Tuensang,NL10
Wokha,NL11
Zunheboto,NL12
Anugul,OR01
Balangir,OR02
Baleshwar,OR03
Bargarh,OR04
Bhadrak,OR05
Boudh,OR06
Cuttack,OR07
Deogarh,OR08
Dhenkanal,OR09
Gajapati,OR10
Ganjam,OR11
Jagatsinghapur,OR12
Jajapur,OR13
Jharsuguda,OR14
Kalahandi,OR15
Kandhamal,OR16
Kendrapara,OR17
Kendujhar,OR18
Khordha,OR19
Koraput,OR20
Malkangiri,OR21
Mayurbhanj,OR22
Nabarangpur,OR23
Nayagarh,OR24
Nuapada,OR25
Puri,OR26
Rayagada,OR27
Sambalpur,OR28
Sonepur,OR29
Sundargarh,OR30
Karaikal,PY01
Mahe,PY02
Puducherry,PY03
Yanam,PY04
Amritsar,PB01
Barnala,PB02
Bathinda,PB03
Faridkot,PB04
Fatehgarh Sahib,PB05
Fazilka,PB06
Firozepur,PB07
Gurdaspur,PB08
Hoshiarpur,PB09
Jalandhar,PB10
Kapurthala,PB11
Ludhiana,PB12
Mansa,PB14
Moga,PB15
Pathankot,PB16
Patiala,PB17
Rupnagar,PB18
Sangrur,PB20
Sas Nagar,PB19
Shahid Bhagat Singh Nagar,PB21
Sri Muktsar Sahib,PB22
Tarn Taran,PB23
Ajmer,RJ01
Alwar,RJ02
Banswara,RJ03
Baran,RJ04
Barmer,RJ05
Bharatpur,RJ06
Bhilwara,RJ07
Bikaner,RJ08
Bundi,RJ09
Chittorgarh,RJ10
Churu,RJ11
Dausa,RJ12
Dholpur,RJ13
Dungarpur,RJ14
Ganganagar,RJ31
Hanumangarh,RJ15
Jaipur,RJ16
Jaisalmer,RJ17
Jalore,RJ18
Jhalawar,RJ19
Jhunjhunu,RJ20
Jodhpur,RJ21
Karauli,RJ22
Kota,RJ23
Nagaur,RJ24
Pali,RJ25
Pratapgarh,RJ26
Rajsamand,RJ27
Sawai Madhopur,RJ28
Sikar,RJ29
Sirohi,RJ30
Tonk,RJ32
Udaipur,RJ33
East,SK01
North,SK02
South,SK03
West,SK04
Ariyalur,TN01
Chengalpattu,TN02
Chennai,TN03
Coimbatore,TN04
Cuddalore,TN05
Dharmapuri,TN06
Dindigul,TN07
Erode,TN08
Kallakkurichi,TN09
Kancheepuram,TN10
Kanniyakumari,TN11
Karur,TN12
Krishnagiri,TN13
Madurai,TN14
Nagapattinam,TN16
Namakkal,TN17
Perambalur,TN19
Pudukkottai,TN20
Ramanathapuram,TN21
Ranipet,TN22
Salem,TN23
Sivaganga,TN24
Tenkasi,TN25
Thanjavur,TN26
The Nilgiris,TN18
Theni,TN27
Thiruvallur,TN33
Thiruvarur,TN35
Thoothukkudi,TN28
Tiruchirappalli,TN29
Tirunelveli,TN30
Tirupathur,TN31
Tiruppur,TN32
Tiruvannamalai,TN34
Vellore,TN36
Viluppuram,TN37
Virudhunagar,TN38
Adilabad,TG01
Bhadradri Kothagudem,TG02
Hyderabad,TG03
Jagtial,TG04
Jangaon,TG05
Jaya Shankar Bhalupally,TG06
Jogulamba Gadwal,TG07
Kamareddy,TG08
Karimnagar,TG09
Khammam,TG10
Kumuram Bheem Asifabad,TG11
Mahabubabad,TG12
Mahbubnagar,TG13
Mancherial,TG14
Medak,TG15
Medchal Malkajgiri,TG16
Mulugu,TG17
Nagarkurnool,TG18
Nalgonda,TG19
Narayanpet,TG20
Nirmal,TG21
Nizamabad,TG22
Peddapalle,TG23
Rajanna Sircilla,TG24
Rangareddy,TG25
Sangareddy,TG26
Siddipet,TG27
Suryapet,TG28
Vikarabad,TG29
Wanaparthy,TG30
Warangal Rural,TG31
Warangal Urban,TG32
Yadadri Bhuvanagiri,TG33
Dhalai,TR01
Gomati,TR02
Khowai,TR03
North Tripura,TR04
Sepahijala,TR05
South Tripura,TR06
Unakoti,TR07
West Tripura,TR08
Almora,UK01
Bageshwar,UK02
Chamoli,UK03
Champawat,UK04
Dehradun,UK05
Haridwar,UK06
Nainital,UK07
Pauri Garhwal,UK08
Pithoragarh,UK09
Rudraprayag,UK10
Tehri Garhwal,UK11
Udham Singh Nagar,UK12
Uttarkashi,UK13
Agra,UP01
Aligarh,UP02
Ambedkar Nagar,UP04
Amethi,UP05
Amroha,UP06
Auraiya,UP07
Ayodhya,UP26
Azamgarh,UP08
Baghpat,UP09
Bahraich,UP10
Ballia,UP11
Balrampur,UP12
Banda,UP13
Bara Banki,UP14
Bareilly,UP15
Basti,UP16
Bhadohi,UP17
Bijnor,UP18
Budaun,UP19
Bulandshahr,UP20
Chandauli,UP21
Chitrakoot,UP22
Deoria,UP23
Etah,UP24
Etawah,UP25
Farrukhabad,UP27
Fatehpur,UP28
Firozabad,UP29
Gautam Buddha Nagar,UP30
Ghaziabad,UP31
Ghazipur,UP32
Gonda,UP33
Gorakhpur,UP34
Hamirpur,UP35
Hapur,UP36
Hardoi,UP37
Hathras,UP38
Jalaun,UP39
Jaunpur,UP40
Jhansi,UP41
Kannauj,UP42
Kanpur Dehat,UP43
Kanpur Nagar,UP44
Kasganj,UP45
Kaushambi,UP46
Kheri,UP48
Kushinagar,UP47
Lalitpur,UP49
Lucknow,UP50
Maharajganj,UP51
Mahoba,UP52
Mainpuri,UP53
Mathura,UP54
Mau,UP55
Meerut,UP56
Mirzapur,UP57
Moradabad,UP58
Muzaffarnagar,UP59
Pilibhit,UP60
Pratapgarh,UP61
Prayagraj,UP03
Rae Bareli,UP62
Rampur,UP63
Saharanpur,UP64
Sambhal,UP65
Sant Kabeer Nagar,UP66
Shahjahanpur,UP67
Shamli,UP68
Shravasti,UP69
Siddharthnagar,UP70
Sitapur,UP71
Sonbhadra,UP72
Sultanpur,UP73
Unnao,UP74
Varanasi,UP75
Alipurduar,WB01
Bankura,WB02
Birbhum,WB03
Dakshin Dinajpur,WB05
Darjiling,WB06
Hooghly,WB07
Howrah,WB08
Jalpaiguri,WB09
Jhargram,WB10
Kalimpong,WB11
Koch Bihar,WB04
Kolkata,WB12
Maldah,WB13
Murshidabad,WB14
Nadia,WB15
North Twenty Four Parganas,WB16
Paschim Bardhaman,WB17
Paschim Medinipur,WB18
Purba Bardhaman,WB19
Purba Medinipur,WB20
Purulia,WB21
South Twenty Four Parganas,WB22
Uttar Dinajpur,WB23
